iter	Passed	Remaining
0	99	99087
1	100	50384
2	102	34012
3	103	25876
4	105	20970
5	107	17739
6	108	15415
7	110	13673
8	111	12293
9	113	11211
10	114	10332
11	116	9603
12	118	8987
13	119	8447
14	121	7973
15	123	7571
16	124	7209
17	126	6882
18	127	6601
19	129	6346
20	131	6118
21	132	5894
22	134	5702
23	135	5521
24	137	5363
25	138	5201
26	140	5063
27	141	4924
28	143	4807
29	145	4693
30	146	4586
31	148	4478
32	149	4386
33	151	4295
34	152	4208
35	154	4132
36	155	4053
37	157	3988
38	159	3925
39	160	3857
40	162	3793
41	163	3736
42	165	3683
43	167	3629
44	168	3578
45	170	3528
46	171	3485
47	173	3435
48	174	3394
49	176	3353
50	178	3316
51	179	3279
52	181	3235
53	182	3202
54	184	3168
55	186	3135
56	187	3100
57	188	3065
58	190	3034
59	191	3002
60	193	2971
61	194	2944
62	196	2918
63	197	2890
64	199	2866
65	200	2841
66	202	2820
67	204	2799
68	205	2773
69	207	2752
70	208	2727
71	210	2708
72	211	2689
73	213	2670
74	214	2649
75	216	2632
76	218	2615
77	219	2597
78	221	2579
79	222	2563
80	224	2547
81	226	2532
82	227	2517
83	229	2499
84	230	2484
85	232	2469
86	233	2453
87	235	2439
88	236	2425
89	238	2411
90	239	2396
91	241	2384
92	243	2372
93	244	2360
94	246	2346
95	247	2335
96	249	2320
97	250	2310
98	252	2299
99	254	2287
100	255	2277
101	257	2266
102	258	2253
103	260	2242
104	261	2232
105	263	2220
106	264	2210
107	266	2198
108	267	2188
109	269	2178
110	270	2170
111	272	2160
112	273	2150
113	275	2142
114	277	2132
115	278	2122
116	280	2114
117	281	2106
118	283	2097
119	284	2088
120	286	2078
121	287	2071
122	289	2064
123	291	2057
124	292	2049
125	294	2042
126	295	2034
127	297	2026
128	298	2018
129	300	2010
130	301	2002
131	303	1994
132	305	1988
133	306	1981
134	307	1972
135	309	1966
136	310	1958
137	312	1951
138	313	1944
139	315	1936
140	316	1930
141	318	1922
142	319	1916
143	321	1910
144	322	1903
145	324	1897
146	326	1891
147	327	1885
148	329	1879
149	330	1874
150	332	1867
151	333	1861
152	334	1854
153	336	1849
154	338	1843
155	339	1839
156	341	1833
157	342	1827
158	344	1822
159	346	1817
160	347	1812
161	349	1807
162	350	1801
163	352	1794
164	353	1790
165	355	1785
166	356	1778
167	358	1773
168	359	1769
169	361	1764
170	362	1758
171	364	1753
172	365	1747
173	367	1742
174	368	1737
175	369	1730
176	371	1725
177	372	1719
178	373	1715
179	375	1710
180	376	1705
181	378	1701
182	379	1695
183	380	1689
184	382	1684
185	383	1679
186	385	1675
187	386	1671
188	388	1665
189	389	1659
190	390	1655
191	392	1650
192	393	1646
193	395	1641
194	396	1638
195	398	1634
196	399	1630
197	401	1626
198	402	1621
199	404	1618
200	406	1615
201	407	1610
202	409	1606
203	410	1602
204	412	1599
205	413	1595
206	415	1591
207	416	1587
208	418	1582
209	419	1578
210	421	1575
211	422	1572
212	424	1569
213	426	1565
214	427	1561
215	429	1557
216	430	1554
217	432	1549
218	433	1545
219	434	1541
220	436	1537
221	437	1534
222	439	1529
223	440	1526
224	441	1522
225	443	1519
226	444	1515
227	446	1511
228	447	1508
229	449	1505
230	451	1501
231	452	1498
232	453	1494
233	455	1491
234	457	1488
235	458	1484
236	459	1480
237	461	1477
238	463	1474
239	464	1471
240	466	1467
241	467	1465
242	469	1462
243	470	1459
244	472	1456
245	473	1452
246	475	1448
247	476	1445
248	477	1441
249	479	1437
250	480	1434
251	482	1431
252	484	1429
253	485	1425
254	487	1423
255	488	1420
256	490	1417
257	491	1414
258	493	1411
259	494	1408
260	496	1404
261	497	1401
262	498	1397
263	500	1394
264	501	1391
265	503	1388
266	504	1385
267	506	1382
268	507	1379
269	509	1376
270	510	1373
271	512	1370
272	513	1367
273	515	1365
274	516	1362
275	518	1360
276	520	1357
277	521	1354
278	522	1351
279	524	1347
280	525	1345
281	527	1342
282	528	1338
283	529	1335
284	531	1333
285	532	1329
286	534	1327
287	536	1325
288	537	1322
289	539	1320
290	540	1317
291	542	1314
292	543	1312
293	545	1309
294	546	1307
295	548	1303
296	549	1300
297	550	1297
298	552	1294
299	553	1291
300	555	1289
301	556	1286
302	558	1284
303	559	1281
304	561	1279
305	563	1276
306	564	1274
307	565	1271
308	567	1268
309	568	1265
310	570	1263
311	571	1260
312	573	1258
313	574	1255
314	576	1252
315	577	1249
316	579	1247
317	580	1245
318	581	1242
319	583	1239
320	584	1236
321	586	1234
322	587	1231
323	589	1228
324	590	1226
325	591	1223
326	593	1220
327	594	1218
328	595	1214
329	597	1212
330	598	1209
331	599	1206
332	600	1203
333	602	1200
334	603	1198
335	604	1195
336	606	1192
337	607	1190
338	609	1187
339	610	1184
340	611	1181
341	612	1179
342	614	1176
343	615	1174
344	617	1171
345	618	1169
346	620	1167
347	621	1165
348	623	1162
349	624	1159
350	625	1157
351	626	1154
352	628	1151
353	629	1149
354	631	1146
355	632	1143
356	633	1141
357	635	1139
358	636	1136
359	637	1134
360	639	1131
361	640	1128
362	641	1125
363	642	1123
364	644	1121
365	645	1118
366	647	1116
367	648	1114
368	650	1111
369	651	1109
370	653	1107
371	654	1105
372	656	1103
373	657	1100
374	659	1098
375	660	1096
376	661	1093
377	662	1090
378	664	1088
379	665	1085
380	666	1083
381	667	1080
382	669	1078
383	670	1075
384	671	1072
385	672	1070
386	674	1068
387	675	1066
388	677	1063
389	678	1061
390	679	1058
391	681	1056
392	682	1054
393	684	1052
394	685	1049
395	686	1047
396	688	1045
397	689	1043
398	691	1041
399	692	1038
400	694	1036
401	695	1034
402	697	1032
403	698	1030
404	699	1028
405	701	1025
406	702	1023
407	703	1021
408	704	1018
409	706	1016
410	707	1013
411	708	1011
412	710	1009
413	712	1007
414	713	1005
415	714	1003
416	715	1000
417	717	998
418	718	996
419	720	994
420	721	992
421	722	990
422	724	988
423	726	986
424	727	983
425	728	981
426	730	979
427	731	977
428	733	975
429	734	973
430	736	971
431	737	969
432	739	967
433	740	966
434	741	963
435	743	961
436	744	959
437	745	957
438	747	954
439	748	952
440	749	950
441	750	948
442	752	945
443	753	943
444	755	941
445	756	939
446	758	937
447	759	936
448	761	933
449	762	931
450	763	929
451	765	927
452	766	925
453	768	923
454	769	921
455	770	919
456	772	917
457	773	915
458	774	913
459	776	911
460	777	909
461	778	907
462	780	904
463	781	902
464	782	900
465	784	898
466	785	896
467	787	894
468	788	892
469	790	890
470	791	888
471	792	887
472	794	885
473	795	882
474	796	880
475	798	878
476	799	876
477	800	874
478	801	872
479	803	870
480	804	868
481	806	866
482	807	864
483	809	862
484	810	860
485	811	858
486	812	856
487	814	854
488	815	852
489	817	850
490	818	848
491	820	846
492	821	844
493	822	842
494	824	840
495	825	838
496	826	836
497	828	834
498	829	832
499	831	831
500	832	829
501	833	827
502	835	825
503	836	823
504	838	821
505	839	819
506	840	817
507	842	815
508	843	813
509	844	811
510	845	809
511	847	807
512	848	805
513	850	803
514	851	801
515	852	799
516	854	797
517	855	795
518	856	793
519	858	792
520	859	790
521	860	788
522	862	786
523	863	784
524	865	782
525	866	780
526	867	778
527	869	777
528	870	775
529	872	773
530	873	771
531	875	770
532	876	768
533	878	766
534	879	764
535	881	763
536	882	761
537	884	759
538	886	757
539	887	755
540	888	754
541	890	752
542	891	750
543	893	748
544	894	746
545	895	744
546	897	743
547	898	741
548	900	739
549	901	737
550	903	736
551	904	734
552	906	732
553	907	730
